1901  |010001 |R     And *|002401.95 +383437.3 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|           |-0.016 -0.035|2000.0  | |Hip      |M         |R     And |
3572  |180053 |YZ    Cas  |004539.08 +745917.1 |EA        |  5.64   |   6.06     |   5.77     |V |54509.297   |     |     4.467222       |08   |A3IV+F2V         |00001 HIP  |           |-0.015 -0.022|2000.0  | |Hip      |EA        |YZ    Cas |
2644  |180054 |ZZ    Cas *|003330.38 +623040.2 |EB        | 10.95   |  11.8  :   |  11.35     |Hp|33437.495   |     |     1.243527       |     |B3               |00001 HIP  |           |-0.004 -0.001|2000.0  | |Hip      |EB        |ZZ    Cas |
6191  |180055 |AA    Cas  |011925.66 +561945.0 |LB        |  7.7    |   9.1      |            |V |            |     |                    |     |M6III            |00001 HIP  |           |+0.000 -0.005|2000.0  | |Hip      |Lb        |AA    Cas |
12235 |180056 |AB    Cas *|023731.51 +711816.3 |EA+DSCTC  | 10.16   |  11.98     |  10.32     |V |56541.878   |     |     1.366892       |16   |A3+K             |00001 HIP  |           |-0.032 +0.018|2000.0  | |Hip      |EA+DSct   |AB    Cas |
1415  |180068 |AO    Cas *|001743.06 +512559.1 |ELL       |  6.07   |   6.24     |   6.24     |V |32191.189   |     |     3.523487       |     |O9IIInn+O9III    |03323 HIP  |           |-0.004 -0.002|2000.0  | |Hip      |Ell       |AO    Cas |
6174  |180070 |AQ    Cas  |011910.35 +622348.4 |EA        | 10.15   |  11.10     |  10.55     |Hp|55808.04    |     |    11.72115        |16   |B3V              |00001 HIP  |           |-0.005 -0.001|2000.0  | |Hip      |EA        |AQ    Cas |
115990|180071 |AR    Cas *|233001.94 +583256.1 |EA        |  4.89   |   5.02     |   4.92     |V |35792.8982  |     |     6.0663335      |06   |B3V              |N0417 HIP  |           |+0.019 +0.004|2000.0  | |Hip      |EA        |AR    Cas |
796   |180082 |BD    Cas *|000951.39 +613050.5 |CWB:      | 10.82   |  11.28     |            |V |48503.259   |     |     3.6516         |50   |                 |HIP   HIP  |           |-0.002 -0.002|2000.0  | |Hip      |CW|DCep   |BD    Cas |
5846  |180093 |BP    Cas  |011501.10 +653557.8 |DCEP      | 10.55   |  11.33     |            |V |48501.140   |     |     6.272363       |28   |F6-G1            |00001 HIP  |           |+0.000 -0.002|2000.0  | |Hip      |DCep      |BP    Cas |
8312  |180102 |BY    Cas *|014711.92 +612521.0 |DCEPS     | 10.06   |  10.58     |            |V |50330.334   |     |     3.22226        |50   |F5-F7            |00001 HIP  |           |+0.001 +0.002|2000.0  | |Hip      |DCep      |BY    Cas |
15063 |180104 |CC    Cas  |031405.34 +593348.5 |EB        |  7.08   |   7.22     |   7.18     |V |47511.082   |     |     3.366324       |     |O9IV+O9IV        |N0422 HIP  |           |+0.001 -0.004|2000.0  | |Hip      |EC        |CC    Cas |
117154|180105 |CD    Cas  |234502.63 +630013.9 |DCEP      | 10.37   |  11.20     |            |V |50324.4     |     |     7.801311       |31   |F6-G5            |00001 HIP  |           |+0.000 -0.002|2000.0  | |Hip      |DCep      |CD    Cas |
118174|180107 |CF    Cas *|235817.98 +611315.8 |DCEP      | 10.80   |  11.47     |            |V |37104.954   |     |     4.87522        |29   |F8Ib-G0Ib        |05295 HIP  |           |-0.001 -0.002|2000.0  | |Hip      |DCep      |CF    Cas |
115390|180109 |CH    Cas  |232228.44 +624525.8 |DCEP      | 10.40   |  11.50     |            |V |47428.41    |     |    15.08695        |38   |F3pIb-F6         |00001 HIP  |           |-0.005 -0.003|2000.0  | |Hip      |DCep      |CH    Cas |
115925|180125 |CY    Cas  |232912.77 +632227.5 |DCEP      | 11.03   |  12.21     |            |V |49953.435   |     |    14.37715        |30   |G0Ib-G2Ib        |00001 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |DCep      |CY    Cas |
118122|180127 |DD    Cas *|235734.96 +624305.7 |DCEP      |  9.60   |  10.23     |            |V |48510.313   |     |     9.811679       |43   |F7-G1            |00001 HIP  |           |-0.001 -0.002|2000.0  | |Hip      |DCep      |DD    Cas |
12817 |180129 |DF    Cas *|024443.31 +612753.0 |DCEP      | 10.53   |  11.15     |            |V |41719.622   |     |     3.832472       |28   |F6-G4:           |08300 HIP  |           |-0.003 +0.004|2000.0  | |Hip      |DCep      |DF    Cas |
2347  |180134 |DL    Cas *|002958.59 +601243.1 |DCEP      |  8.63   |   9.30     |            |V |42780.334   |     |     8.000669       |33   |F5Ib-G2Ib+B9V    |08632 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |DCep      |DL    Cas |
12543 |180137 |DO    Cas  |024124.16 +603311.8 |EB        |  8.34   |   9.00     |   8.64     |V |33926.4573  |     |     0.6846661      |     |A4V              |05895 HIP  |           |+0.037 -0.006|2000.0  | |Hip      |EC        |DO    Cas |
116684|180145 |DW    Cas  |233848.40 +592330.6 |DCEP      | 10.81   |  11.42     |            |V |49689.69    |     |     4.99776        |30   |F7               |75119 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |DCep      |DW    Cas |
1162  |180176 |FM    Cas  |001428.24 +561510.6 |DCEP      |  8.82   |   9.47     |            |V |42817.713   |     |     5.809284       |30   |F7-G0I           |08632 HIP  |           |-0.001 -0.004|2000.0  | |Hip      |DCep      |FM    Cas |
12416 |180198 |GP    Cas  |023950.44 +593551.3 |LC        |  9.34   |  10.11     |            |V |            |     |                    |     |M2.0Iab          |09344 HIP  |           |-0.003 +0.000|2000.0  | |Hip      |Lb        |GP    Cas |
7139  |180230 |IM    Cas  |013200.26 +621944.5 |SRB       | 10.2    |  11.0      |            |p |            |     |   323.             |     |M2               |00911 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |SR        |IM    Cas |
390   |180241 |IX    Cas *|000450.81 +501405.5 |CWA       | 11.19   |  11.77     |            |V |42780.264   |     |     9.154549       |49   |F7               |N0226 HIP  |           |-0.005 -0.002|2000.0  | |Hip      |CW        |IX    Cas |
779   |180247 |KN    Cas  |000936.36 +624004.2 |LC        |  9.43   |   9.80     |            |V |            |     |                    |     |M1Ibep+B3V       |09344 HIP  |           |-0.002 +0.002|2000.0  | |Hip      |Lb        |KN    Cas |
1263  |180283 |MU    Cas *|001551.56 +602553.6 |EA        | 11.2    |  11.65     |  11.35     |* |51486.748   |     |     9.65295        |     |B8               |00001 HIP  |           |-0.003 -0.002|2000.0  | |Hip      |EA        |MU    Cas |
5391  |180311 |OX    Cas *|010900.10 +612814.8 |EA        |  9.92   |  10.41     |  10.2      |V |55125.339   |     |     2.4893427      |15   |B1V              |07383 HIP  |           |-0.002 -0.003|2000.0  | |Hip      |EA        |OX    Cas |
117078|180324 |PZ    Cas *|234403.28 +614722.2 |SRC       |  8.2    |  10.2      |            |V |            |     |   850.             |     |M3Ia             |N0359 HIP  |           |-0.004 -0.004|2000.0  | |Hip      |SRC       |PZ    Cas |
116018|180358 |V0358 Cas  |233027.37 +575833.7 |LC        |  8.66   |   9.77     |            |Hp|            |     |                    |     |M3Ia0            |HIP   HIP  |           |-0.003 +0.000|2000.0  | |Hip      |Lb        |V0358 Cas |
1222  |180363 |V0363 Cas *|001514.33 +602025.7 |RR(B)     | 10.29   |  10.73     |            |V |            |     |     0.546556       |     |F3-F7            |N0436 HIP  |           |-0.002 -0.002|2000.0  | |Hip      |RRB01     |V0363 Cas |
14936 |180368 |V0368 Cas *|031235.55 +595510.9 |EA        |  8.25   |   8.97     |   8.35     |V |57343.468   |     |     4.451655       |16   |B3III            |00001 HIP  |           |+0.001 +0.000|2000.0  | |Hip      |EA        |V0368 Cas |
117957|180373 |V0373 Cas *|235533.84 +572443.8 |E:        |  6.03   |   6.13     |            |Hp|48567.99    |     |    13.4192         |     |B0.5II+B0.5II    |02646 HIP  |           |-0.003 +0.000|2000.0  | |Hip      |E:        |V0373 Cas |
1543  |180377 |V0377 Cas *|001914.30 +594217.8 |CST:      |  7.89   |   7.94     |            |Hp|            |     |                    |     |F0               |HIP   HIP  |           |+0.064 -0.015|2000.0  | |Hip      |Cst:      |V0377 Cas |
9042  |180391 |V0391 Cas  |015631.69 +701213.6 |LB        |  7.1    |   7.9      |            |V |            |     |                    |     |M4               |      HIP  |           |-0.001 -0.001|2000.0  | |Hip      |Lb        |V0391 Cas |
117154|180405 |V0405 Cas  |                    |          |         |            |            |  |            |     |                    |     |                 |           |=CD    Cas |             |        | |         |          |V0405 Cas |
116210|180436 |V0436 Cas  |233247.65 +575420.1 |ACV       |  7.32   |   7.84     |            |V |48526.6     |     |    79.5            |     |A0p(Sr-Cr-Eu)    |HIP   HIP  |           |+0.023 +0.000|2000.0  | |Hip      |ACV       |V0436 Cas |
6093  |180465 |V0465 Cas  |011813.88 +574811.4 |LB        |  6.0    |   7.8      |            |V |            |     |                    |     |M5               |      HIP  |           |-0.008 -0.001|2000.0  | |Hip      |Lb        |V0465 Cas |
6231  |180466 |V0466 Cas *|011953.62 +581830.7 |LC        |  9.8    |  10.74     |            |B |            |     |                    |     |M1.5Ib           |02576 HIP  |           |-0.002 -0.001|2000.0  | |Hip      |Lb        |V0466 Cas |
12495 |180482 |V0482 Cas *|024044.94 +611656.1 |BCEP:     |  8.27   |   8.31     |            |B |            |     |     0.37822     :  |     |O9.5I-II         |05522 HIP  |           |-0.006 +0.003|2000.0  | |Hip      |BCep:     |V0482 Cas |
3346  |180486 |V0486 Cas  |004237.99 +522013.8 |E:        |  6.95   |   6.99     |            |Hp|48607.412   |     |     5.5444         |     |B1V+B2III        |00001 HIP  |           |-0.006 -0.003|2000.0  | |Hip      |E:        |V0486 Cas |
5239  |180487 |V0487 Cas *|010659.74 +634623.4 |SRD       |  7.44   |   7.74     |            |V |            |     |   160.3            |     |G4Ia             |N0444 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |SRd       |V0487 Cas |
113561|180509 |V0509 Cas *|230005.10 +565643.4 |SRD       |  4.75   |   5.8      |            |V |            |     |   203.3            |     |F8e-KIa-0+B1V    |N0445 HIP  |           |-0.003 -0.003|2000.0  | |Hip      |SRd       |V0509 Cas |
3965  |180526 |V0526 Cas *|005057.40 +513028.9 |DSCTC     |  6.34   |   6.37     |            |V |            |     |     0.0396         |     |F5III            |07695 HIP  |           |+0.138 +0.000|2000.0  | |Hip      |DSct      |V0526 Cas |
11604 |180528 |V0528 Cas *|022937.74 +603926.2 |BCEP:     |  8.56   |   8.66     |            |Hp|            |     |                    |     |B5V              |06844 HIP  |           |-0.003 -0.001|2000.0  | |Hip      |BCep:     |V0528 Cas |
11607 |180529 |V0529 Cas  |022943.53 +604038.5 |BE        |  8.44   |   8.86     |            |V |            |     |                    |     |B5Vea            |06844 HIP  |           |-0.003 +0.001|2000.0  | |Hip      |Be        |V0529 Cas |
6084  |180538 |V0538 Cas  |011807.20 +614304.4 |LB:       |  7.74   |   7.80     |            |Hp|            |     |                    |     |M0III            |HIP   HIP  |           |+0.023 -0.009|2000.0  | |Hip      |Lb:       |V0538 Cas |
7598  |180539 |V0539 Cas  |013752.44 +624748.8 |LB        |  8.40   |   8.66     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |-0.001 +0.000|2000.0  | |Hip      |Lb        |V0539 Cas |
9604  |180540 |V0540 Cas  |020330.51 +693456.3 |ACV       |  7.73   |   7.75     |            |V |            |     |    34.9            |     |A2p(CrSi)        |06992 HIP  |           |+0.008 -0.002|2000.0  | |Hip      |ACV       |V0540 Cas |
2552  |180547 |V0547 Cas *|003229.43 +671408.4 |UV        | 11.4    |  11.9      |            |B |            |     |                    |     |M2.5Ve           |07835 HIP  |           |+1.739 -0.225|2000.0  | |Hip      |UV        |V0547 Cas |
4717  |180551 |V0551 Cas  |010033.44 +602640.9 |ACV       |  8.43   |   8.77     |            |V |            |     |    69.0            |     |A0p(SrCrEu)      |07893 HIP  |           |-0.007 -0.003|2000.0  | |Hip      |ACV       |V0551 Cas |
7965  |180557 |V0557 Cas  |014220.53 +680234.9 |ACV       |  5.55   |   5.64     |            |V |            |     |     3.15459        |50   |A0p(SiSrCr)      |HIP   HIP  |           |+0.053 -0.010|2000.0  | |Hip      |ACV       |V0557 Cas |
9906  |180558 |V0558 Cas  |020731.78 +652855.7 |EB        |  8.70   |   8.91     |   8.87     |V |51412.131   |     |     3.16034        |     |A-F              |00001 HIP  |           |-0.002 +0.001|2000.0  | |Hip      |EC        |V0558 Cas |
11318 |180559 |V0559 Cas *|022540.11 +613258.8 |EA        |  7.01   |   7.23     |   7.21     |V |54810.325   |     |     1.5806325      |12   |B8IV             |00001 HIP  |           |+0.015 -0.007|2000.0  | |Hip      |EA        |V0559 Cas |
117447|180566 |V0566 Cas *|234850.17 +621252.3 |ACYG      |  5.55   |   5.64     |            |Hp|            |     |                    |     |A3Ia comp        |HIP   HIP  |           |-0.003 -0.001|2000.0  | |Hip      |ACyg      |V0566 Cas |
418   |180567 |V0567 Cas  |000506.15 +611850.3 |ACV       |  5.78   |   5.81     |            |V |            |     |     6.4322         |50   |B9p(HgMn)        |07955 HIP  |           |+0.014 +0.002|2000.0  | |Hip      |ACV       |V0567 Cas |
3401  |180594 |V0594 Cas *|004318.26 +615440.1 |INA       | 10.38   |  10.93     |            |V |            |     |                    |     |B8-B9eq          |73211 HIP  |           |+0.003 -0.003|2000.0  | |Hip      |HAeBe     |V0594 Cas |
8025  |180595 |V0595 Cas  |014302.72 +563046.0 |LC        |  8.75   |   9.05     |            |V |            |     |                    |     |M2Ib             |02556 HIP  |           |+0.001 -0.003|2000.0  | |Hip      |Lb        |V0595 Cas |
9291  |180596 |V0596 Cas  |015923.52 +583116.1 |UV        | 13.3    |  14.0      |            |B |            |     |                    |     |M4Ve             |08331 HIP  |           |+0.322 -0.195|2000.0  | |Hip      |UV        |V0596 Cas |
9481  |180598 |V0598 Cas  |020159.06 +615418.2 |BY:       |  7.43   |   7.55     |            |Hp|            |     |                    |     |K5V:             |HIP   HIP  |           |+0.006 -0.010|2000.0  | |Hip      |BY:       |V0598 Cas |
10904 |180605 |V0605 Cas  |022022.46 +594016.9 |LC        |  8.14   |   8.48     |            |V |            |     |                    |     |M2Iab            |02556 HIP  |           |-0.001 +0.001|2000.0  | |Hip      |Lb        |V0605 Cas |
12469 |180615 |V0615 Cas *|024031.67 +611345.6 |X         | 10.61   |  10.83     |            |V |            |     |    26.496          |     |B0Ve             |N0452 HIP  |           |+0.001 +0.002|2000.0  | |Hip      |Xhm       |V0615 Cas |
14827 |180623 |V0623 Cas  |031125.33 +575411.2 |LB:       |  7.32   |   7.66     |            |Hp|            |     |                    |     |C4,5J(R5)        |HIP   HIP  |           |+0.002 -0.002|2000.0  | |Hip      |Lb:       |V0623 Cas |
113373|180627 |V0627 Cas *|225740.97 +584912.5 |ZAND:     | 11.9    |  13.90     |            |V |            |     |                    |     |M2II-IIIe        |78253 HIP  |           |-0.005 -0.007|2000.0  | |Hip      |Sym:|Lb:  |V0627 Cas |
114995|180628 |V0628 Cas *|231725.57 +605043.3 |INA       | 10.88   |  11.90     |            |V |            |     |     2.8869         |     |Beq              |N0151 HIP  |           |-0.019 -0.015|2000.0  | |Hip      |HAeBe     |V0628 Cas |
7192  |180636 |V0636 Cas  |013243.23 +633537.7 |DCEPS     |  7.09   |   7.30     |            |V |50324.378   |     |     8.37571        |47   |G0Ib             |00001 HIP  |           |+0.000 -0.001|2000.0  | |Hip      |DCep      |V0636 Cas |
113797|180638 |V0638 Cas *|230243.90 +551411.0 |ACV       |  6.46   |   6.53     |            |Hp|            |     |     5.3933         |     |B9IIIp(He weak)  |HIP   HIP  |           |+0.017 +0.003|2000.0  | |Hip      |ACV       |V0638 Cas |
274   |180639 |V0639 Cas *|000325.71 +633825.9 |ACYG      |  6.30   |   6.38     |            |Hp|            |     |                    |     |B3Iae            |HIP   HIP  |           |-0.003 -0.002|2000.0  | |Hip      |ACyg      |V0639 Cas |
518   |180640 |V0640 Cas *|000615.81 +582612.2 |CST:      |  6.11   |            |            |Hp|            |     |                    |     |G3V+G9V          |HIP   HIP  |           |+0.247 +0.018|2000.0  | |Hip      |Cst:      |V0640 Cas |
13290 |180648 |V0648 Cas  |025103.95 +575119.9 |SRC       |  9.23   |  10.14     |            |V |            |     |   420.             |     |M3Iab            |N0456 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |SR        |V0648 Cas |
114904|180649 |V0649 Cas  |231627.05 +615746.6 |EA        |  6.58   |   6.68     |   6.62     |Hp|48500.5980  |     |     2.39125        |15   |B0Vn             |HIP   HIP  |           |+0.001 -0.001|2000.0  | |Hip      |EA        |V0649 Cas |
117430|180650 |V0650 Cas *|234839.05 +645235.2 |ACV       |  6.49   |(  0.03    )|            |U |            |     |     1.092          |     |A0VpSr(SiCr)     |09308 HIP  |           |+0.017 -0.014|2000.0  | |Hip      |ACV       |V0650 Cas |
6081  |180662 |V0662 Cas *|011802.70 +651729.8 |X         | 11.00   |(  0.10 :  )|            |V |            |     |     0.115          |     |B1Iabe           |N0459 HIP  |           |-0.002 +0.002|2000.0  | |Hip      |Xhm       |V0662 Cas |
14537 |180704 |V0704 Cas  |030740.51 +602922.1 |SR        | 11.4    |  12.1      |            |p |            |     |   379.             |     |M1Iab            |N0355 HIP  |           |+0.004 +0.002|2000.0  | |Hip      |SR        |V0704 Cas |
114817|180728 |V0728 Cas  |231529.19 +615157.2 |RS        |  8.47   |   8.55     |            |Hp|            |     |    15.865          |     |K2V              |HIP   HIP  |           |-0.032 -0.008|2000.0  | |Hip      |RS        |V0728 Cas |
336   |180739 |V0739 Cas  |000415.99 +650910.7 |LB        |  7.62   |   7.70     |            |Hp|            |     |                    |     |K5               |HIP   HIP  |           |+0.011 +0.011|2000.0  | |Hip      |Lb        |V0739 Cas |
723   |180740 |V0740 Cas  |000857.23 +662724.0 |SRD:      |  8.69   |   8.74     |            |Hp|            |     |   356.             |     |G5               |HIP   HIP  |           |+0.175 +0.006|2000.0  | |Hip      |SRd:      |V0740 Cas |
834   |180741 |V0741 Cas  |001010.47 +643848.2 |EB/RS     |  8.26   |   8.51     |   8.38     |Hp|48504.061   |     |     9.0576         |     |K0               |HIP   HIP  |           |-0.030 -0.004|2000.0  | |Hip      |EC+RS     |V0741 Cas |
940   |180742 |V0742 Cas *|001137.15 +581242.6 |BE        |  7.11   |   7.17     |            |Hp|            |     |                    |     |B5IIe:           |HIP   HIP  |           |+0.000 -0.002|2000.0  | |Hip      |BE        |V0742 Cas |
1652  |180743 |V0743 Cas  |002043.56 +615246.5 |SRC       |  6.81   |   6.91     |            |Hp|            |     |   500.          :  |     |M2II:            |HIP   HIP  |           |-0.003 +0.000|2000.0  | |Hip      |SRc       |V0743 Cas |
1735  |180744 |V0744 Cas  |002156.68 +532851.1 |EA        |  8.44   |   8.70     |   8.66     |Hp|48501.724   |     |     4.7818         |11   |B9               |HIP   HIP  |           |-0.004 -0.003|2000.0  | |Hip      |EA        |V0744 Cas |
1805  |180745 |V0745 Cas *|002253.34 +621429.0 |EB:       |  8.06   |   8.16     |   8.15     |Hp|48500.5697  |     |     1.41057        |     |B0IV             |HIP   HIP  |           |-0.004 -0.002|2000.0  | |Hip      |EB:       |V0745 Cas |
1921  |180746 |V0746 Cas *|002415.66 +520111.7 |LPB       |  5.54   |   5.56     |            |Hp|            |     |     2.50338        |     |B5IV             |80112 HIP  |           |+0.014 -0.004|2000.0  | |Hip      |SPB       |V0746 Cas |
2271  |180747 |V0747 Cas *|002857.00 +482449.4 |LB:       |  6.89   |   7.16     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.001 -0.003|2000.0  | |Hip      |Lb:       |V0747 Cas |
2596  |180748 |V0748 Cas  |003258.92 +483929.8 |LB:       | 10.01   |  10.40     |            |Hp|            |     |                    |     |M8               |HIP   HIP  |           |+0.000 +0.008|2000.0  | |Hip      |Lb:       |V0748 Cas |
2667  |180749 |V0749 Cas  |003348.89 +581255.3 |LB:       |  8.65   |   8.78     |            |V |            |     |                    |     |K7               |07315 HIP  |           |-0.005 -0.006|2000.0  | |Hip      |Lb:       |V0749 Cas |
2808  |180750 |V0750 Cas  |003544.21 +494410.5 |LB:       |  8.89   |   9.02     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.006 +0.001|2000.0  | |Hip      |Lb:       |V0750 Cas |
2813  |180751 |V0751 Cas  |003547.66 +554226.0 |LPB       |  7.88   |   7.91     |            |Hp|            |     |     1.9857         |     |B9               |HIP   HIP  |           |+0.010 +0.001|2000.0  | |Hip      |SPB       |V0751 Cas |
2899  |180752 |V0752 Cas  |003645.44 +485707.9 |LB        |  7.75   |   8.54     |            |Hp|            |     |                    |     |M5               |HIP   HIP  |           |+0.005 +0.007|2000.0  | |Hip      |Lb        |V0752 Cas |
3171  |180753 |V0753 Cas  |004024.81 +593049.7 |LB        |  7.16   |   7.26     |            |Hp|            |     |                    |     |K5III            |HIP   HIP  |           |-0.001 -0.004|2000.0  | |Hip      |Lb        |V0753 Cas |
3294  |180754 |V0754 Cas  |004201.85 +535733.2 |LB        |  8.16   |   8.38     |            |* |            |     |                    |     |K7               |00001 HIP  |           |+0.029 +0.007|2000.0  | |Hip      |Lb        |V0754 Cas |
3367  |180755 |V0755 Cas  |004250.06 +641728.6 |EA:       |  7.14   |   7.30     |            |V |            |     |                    |     |A1Ia             |HIP   HIP  |           |-0.003 -0.001|2000.0  | |Hip      |EA:       |V0755 Cas |
3513  |180756 |V0756 Cas *|004450.37 +601833.0 |DSCTC:    |  8.74   |   8.83     |            |Hp|            |     |     0.2229      :  |     |F0               |HIP   HIP  |           |+0.027 -0.012|2000.0  | |Hip      |DSct:     |V0756 Cas |
3839  |180757 |V0757 Cas  |004916.13 +682802.0 |LPB       |  8.18   |   8.23     |            |Hp|            |     |     0.436524       |     |B8               |HIP   HIP  |           |-0.006 -0.005|2000.0  | |Hip      |SPB       |V0757 Cas |
4451  |180758 |V0758 Cas  |005658.06 +561424.1 |LB:       |  8.57   |   8.69     |            |Hp|            |     |                    |     |K2               |HIP   HIP  |           |-0.002 +0.001|2000.0  | |Hip      |Lb:       |V0758 Cas |
4918  |180759 |V0759 Cas  |010309.88 +530825.5 |LB:       |  7.43   |   7.61     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.019 -0.004|2000.0  | |Hip      |Lb:       |V0759 Cas |
5161  |180760 |V0760 Cas  |010603.95 +574523.3 |LPB       |  7.11   |   7.17     |            |Hp|            |     |     1.9324         |     |B3III            |HIP   HIP  |           |+0.002 -0.002|2000.0  | |Hip      |SPB       |V0760 Cas |
5688  |180761 |V0761 Cas *|011309.85 +614222.3 |ACV       |  6.38   |   6.41     |            |Hp|            |     |     1.00651        |     |B9V              |HIP   HIP  |           |+0.029 -0.006|2000.0  | |Hip      |ACV       |V0761 Cas |
5926  |180762 |V0762 Cas  |011611.90 +714437.9 |BY:       |  5.92   |   6.02     |            |Hp|            |     |                    |     |K1V              |HIP   HIP  |           |-0.002 -0.001|2000.0  | |Hip      |BY:       |V0762 Cas |
5976  |180763 |V0763 Cas  |011647.88 +751202.2 |SRB       |  8.26   |   8.43     |            |Hp|            |     |    32.40           |     |M1               |HIP   HIP  |           |+0.025 -0.002|2000.0  | |Hip      |SR        |V0763 Cas |
6027  |180764 |V0764 Cas  |011726.29 +573755.5 |BE        |  6.85   |   6.93     |            |Hp|            |     |                    |     |B2IIIne          |HIP   HIP  |           |+0.002 +0.001|2000.0  | |Hip      |Be        |V0764 Cas |
6171  |180765 |V0765 Cas *|011909.05 +581726.0 |EA        | 10.60   |  11.06     |  10.83     |V |54415.6925  |     |     1.716280       |20   |B2.5             |80078 HIP  |           |-0.001 -0.001|2000.0  | |Hip      |EA        |V0765 Cas |
6287  |180766 |V0766 Cas *|012040.56 +513541.2 |EA        |  7.10   |   7.51     |   7.30     |Hp|48501.255   |     |     2.32953        |13   |B8IV             |HIP   HIP  |           |+0.006 -0.004|2000.0  | |Hip      |EA        |V0766 Cas |
6934  |180767 |V0767 Cas  |012920.59 +614542.0 |SRB:      |  8.87   |   9.04     |            |Hp|            |     |   500.          :  |     |M0               |00001 HIP  |           |-0.003 +0.001|2000.0  | |Hip      |SR:       |V0767 Cas |
7103  |180768 |V0768 Cas  |013131.59 +594607.6 |LPB:      | 10.09   |  10.18     |            |Hp|            |     |     5.428          |     |B1V              |HIP   HIP  |           |+0.001 -0.002|2000.0  | |Hip      |SPB:      |V0768 Cas |
7512  |180769 |V0769 Cas  |013647.04 +632452.1 |LPB:      |  7.59   |   7.65     |            |Hp|            |     |     1.63749        |     |B8III            |HIP   HIP  |           |+0.018 -0.005|2000.0  | |Hip      |SPB:      |V0769 Cas |
7755  |180770 |V0770 Cas  |013951.66 +605408.3 |LB        |  7.45   |   8.13     |            |Hp|            |     |                    |     |M2III            |HIP   HIP  |           |-0.001 +0.001|2000.0  | |Hip      |Lb        |V0770 Cas |
7936  |180771 |V0771 Cas  |014200.93 +614743.6 |BE:       |  9.31   |   9.48     |            |Hp|            |     |                    |     |B2               |HIP   HIP  |           |-0.003 -0.003|2000.0  | |Hip      |Be:       |V0771 Cas |
7939  |180772 |V0772 Cas  |014202.91 +610217.6 |EA        |  6.68   |   6.76 :   |            |Hp|48099.08    |     |     5.0138         |10:  |B8IIIpSi         |N0466 HIP  |           |+0.008 -0.005|2000.0  | |Hip      |EA        |V0772 Cas |
8115  |180773 |V0773 Cas *|014417.97 +573211.8 |EA        |  6.21   |   6.30     |            |Hp|48500.9310  |     |     1.29366        |15   |A3V              |HIP   HIP  |           |+0.047 -0.018|2000.0  | |Hip      |EA        |V0773 Cas |
8297  |180774 |V0774 Cas  |014700.01 +602220.4 |SRB       |  8.35   |   8.67     |            |Hp|            |     |   275.          :  |     |M2III            |HIP   HIP  |           |-0.003 -0.001|2000.0  | |Hip      |SR        |V0774 Cas |
8693  |180775 |V0775 Cas *|015150.48 +632714.6 |EA        |  9.73   |  10.26     |  10.07     |V |48766.027   |     |     5.39017        |06   |B8V              |79006 HIP  |           |-0.003 +0.000|2000.0  | |Hip      |EA        |V0775 Cas |
8821  |180776 |V0776 Cas *|015323.44 +700233.4 |EW        |  8.81   |   8.99     |   8.95     |V |52556.3106  |     |     0.44041618     |     |F0               |N0467 HIP  |           |+0.019 +0.004|2000.0  | |Hip      |EC        |V0776 Cas |
8980  |180777 |V0777 Cas  |015542.85 +591624.4 |BE        |  6.95   |   7.12     |            |Hp|            |     |    19.4         :  |     |B2Vne            |HIP   HIP  |           |+0.002 -0.002|2000.0  | |Hip      |Be        |V0777 Cas |
9211  |180778 |V0778 Cas  |015828.91 +591608.8 |SRC       |  8.19   |   8.36     |            |Hp|            |     |  200.           :  |     |M2Iab            |HIP   HIP  |           |+0.000 -0.002|2000.0  | |Hip      |SR        |V0778 Cas |
9494  |180779 |V0779 Cas *|020209.31 +753007.8 |EA:       |  6.59   |   7.06     |            |Hp|48026.948   |     |                    |     |A0               |HIP   HIP  |           |+0.017 -0.010|2000.0  | |Hip      |EA:       |V0779 Cas |
9538  |180780 |V0780 Cas  |020236.43 +594117.1 |BE        |  8.08   |   8.24     |            |Hp|            |     |     1.298       :  |     |B1:V:pe          |HIP   HIP  |           |-0.002 -0.001|2000.0  | |Hip      |Be        |V0780 Cas |
9635  |180781 |V0781 Cas  |020349.13 +641414.9 |SRD       |  7.58   |   7.68     |            |Hp|48545.      |     |   160.6            |     |G5Ia             |HIP   HIP  |           |-0.001 +0.000|2000.0  | |Hip      |SR        |V0781 Cas |
9997  |180782 |V0782 Cas  |020845.44 +650214.7 |BE        |  7.66   |   7.74     |            |Hp|            |     |                    |     |B6Iae            |HIP   HIP  |           |+0.002 -0.003|2000.0  | |Hip      |Be        |V0782 Cas |
